8.00004  2.00000 0.00001
8.00004 -2.00000 0.00001
8.40004  2.00000 0.10001
8.40004 -2.00000 0.10001
8.79880  1.99995 0.20001
8.79880 -1.99995 0.20001
9.16782  1.99872 0.30001
9.16782 -1.99872 0.30001
9.42446  1.99310 0.40001
9.42446 -1.99310 0.40001
9.50380  1.98059 0.50001
9.50380 -1.98059 0.50001
9.38905  1.96038 0.60001
9.38905 -1.96038 0.60001
9.09155  1.93248 0.70001
9.09155 -1.93248 0.70001
8.63306  1.89706 0.80001
8.63306 -1.89706 0.80001
8.03648  1.85411 0.90001
8.03648 -1.85411 0.90001
7.32433  1.80337 1.00001
7.32433 -1.80337 1.00001
6.51793  1.74424 1.10001
6.51793 -1.74424 1.10001
5.64013  1.67581 1.20001
5.64013 -1.67581 1.20001
4.71595  1.59676 1.30001
4.71595 -1.59676 1.30001
3.77407  1.50523 1.40001
3.77407 -1.50523 1.40001
2.84795  1.39857 1.50001
2.84795 -1.39857 1.50001
1.97589  1.27272 1.60001
1.97589 -1.27272 1.60001
1.20217  1.12100 1.70001
1.20217 -1.12100 1.70001
0.57662  0.93054 1.80001
0.57662 -0.93054 1.80001
0.15523  0.66869 1.90001
0.15523 -0.66869 1.90001
0.00000  0.00000 2.00001
0.00000 -0.00000 2.00001
0.00000  0.00000 2.10001
0.00000 -0.00000 2.10001
0.00000  0.00000 2.20001
0.00000 -0.00000 2.20001
0.00000  0.00000 2.30001
0.00000 -0.00000 2.30001
0.00000  0.00000 2.40001
0.00000 -0.00000 2.40001
0.00000  0.00000 2.50001
0.00000 -0.00000 2.50001
0.00000  0.00000 2.60001
0.00000 -0.00000 2.60001
0.00000  0.00000 2.70001
0.00000 -0.00000 2.70001
0.00000  0.00000 2.80001
0.00000 -0.00000 2.80001
0.00000  0.00000 2.90001
0.00000 -0.00000 2.90001
0.00000  0.00000 3.00001
0.00000 -0.00000 3.00001
0.00000  0.00000 3.10001
0.00000 -0.00000 3.10001
0.00000  0.00000 3.20001
0.00000 -0.00000 3.20001
0.00000  0.00000 3.30001
0.00000 -0.00000 3.30001
0.00000  0.00000 3.40001
0.00000 -0.00000 3.40001
0.00000  0.00000 3.50001
0.00000 -0.00000 3.50001
0.00000  0.00000 3.60001
0.00000 -0.00000 3.60001
0.00000  0.00000 3.70001
0.00000 -0.00000 3.70001
0.00000  0.00000 3.80001
0.00000 -0.00000 3.80001
0.00000  0.00000 3.90001
0.00000 -0.00000 3.90001
0.00000  0.00000 4.00001
0.00000 -0.00000 4.00001
