0.00001 	 2.00000 	 0.12500	 -0.69314
0.10001 	 2.00000 	 0.13158	 -0.64185
0.20001 	 1.99995 	 0.13889	 -0.58778
0.30001 	 1.99872 	 0.14706	 -0.53062
0.40001 	 1.99310 	 0.15625	 -0.47000
0.50001 	 1.98059 	 0.16667	 -0.40546
0.60001 	 1.96038 	 0.17857	 -0.33647
0.70001 	 1.93248 	 0.19231	 -0.26236
0.80001 	 1.89706 	 0.20834	 -0.18231
0.90001 	 1.85411 	 0.22727	 -0.09530
1.00001 	 1.80337 	 0.25000	 0.00001
1.10001 	 1.74424 	 0.27778	 0.10537
1.20001 	 1.67581 	 0.31250	 0.22316
1.30001 	 1.59676 	 0.35715	 0.35669
1.40001 	 1.50523 	 0.41667	 0.51084
1.50001 	 1.39857 	 0.50001	 0.69317
1.60001 	 1.27272 	 0.62502	 0.91632
1.70001 	 1.12100 	 0.83336	 1.20401
1.80001 	 0.93054 	 1.25006	 1.60949
1.90001 	 0.66869 	 2.50025	 2.30269
2.00001 	 0.00000 	 50000.0       	 11.51293
2.10001 	 0.00000 	 4.99950	 2.30249
2.20001 	 0.00000 	 2.49988	 1.60939
2.30001 	 0.00000 	 1.66661	 1.20394
2.40001 	 0.00000 	 1.24997	 0.91627
2.50001 	 0.00000 	 0.99998	 0.69313
2.60001 	 0.00000 	 0.83332	 0.51081
2.70001 	 0.00000 	 0.71428	 0.35666
2.80001 	 0.00000 	 0.62499	 0.22313
2.90001 	 0.00000 	 0.55555	 0.10535
3.00001 	 0.00000 	 0.50000	 -0.00001

